"","C1","H1","U1","M1","C2","H2","U2","M2","C3","H3","U3","M3"
"11",0.607052489153725,0.281468045337258,0.168426343732103,0.0164914662845962,0.292646248091737,0.133020706248687,0.0786206428966137,0.00786482100843754,0.162960427739689,0.0732831791426598,0.042381686927245,0.00405159937381208
"12",0.739576208173221,0.335496219482118,0.200033590339463,0.0213195576904978,0.346577547557128,0.153433271116291,0.0905336852704248,0.0100163977647737,0.189942208579632,0.0829698019138737,0.0480096580137411,0.00512446436248874
"13",0.888768708642377,0.394833108244792,0.234545425961837,0.0269414629912876,0.404680426541452,0.174595973281792,0.10281153315588,0.0124601248801674,0.21835487324449,0.0926888312968543,0.0536284666072325,0.00632957430732967
"14",1.05605947219544,0.459883894446895,0.272179919362007,0.033412481123386,0.466978585240995,0.196462616568691,0.115424056752441,0.0151996968017316,0.248130932893341,0.102399030066114,0.0592130224500168,0.00766509109791231
"15",1.2430513183711,0.531121607075805,0.313195878531442,0.0407920783493321,0.533513088672414,0.219000714364433,0.128350533419649,0.018238028522936,0.279212534700733,0.112068053213107,0.064744290808743,0.00912862863052287
"16",1.45153119351309,0.609087947536136,0.357892626683567,0.0491449141210707,0.604339691856682,0.242188830927499,0.141577741549418,0.0215775321253019,0.311549680854135,0.121670692200474,0.0702080450059786,0.0107174133915786
"17",1.68348334253078,0.694395442564837,0.406610664688613,0.0585418198669306,0.679526732690045,0.26601447485647,0.155098453241239,0.0252203325707152,0.345098802332054,0.131187473540924,0.0755938744026607,0.0124284092519002
"18",1.94110476497695,0.787730745162114,0.459733083607606,0.0690607620262542,0.759153466213615,0.290472421197094,0.168910236044637,0.0291684368210456,0.379821606292207,0.140603530475631,0.0808943889498741,0.0142584149256207
"19",2.22682298660954,0.889859010443801,0.517687665899465,0.0807878102763027,0.843308735215036,0.315563359220689,0.18301449021028,0.0334238672813254,0.415684136605409,0.149907687195677,0.0861045767977908,0.0162041401870842
"20",2.54331622386681,1.00162930873401,0.580949637656934,0.093818129480616,0.932089926417832,0.341292816187802,0.197415685313545,0.0379887652565368,0.45265601458044,0.159091722629711,0.0912212910200909,0.0182622642974904
"21",2.89353603794883,1.12398104597843,0.650045039658853,0.108257013759439,1.02560215122128,0.367670297312248,0.212120753009119,0.0428654711209017,0.490709822015538,0.168149775898859,0.0962428380437195,0.0204294805489711
"22",3.28073262446287,1.25795139640985,0.725554708922791,0.124220978610048,1.12395760706173,0.394708598886867,0.227138604838469,0.0480565859856331,0.529820599531174,0.177077866372821,0.101168648223559,0.0227025297054942
"23",3.70848291619541,1.40468376949868,0.808118873738978,0.141838926526663,1.22727508524072,0.422423260901612,0.242479750607926,0.0535650186949785,0.569965438892697,0.185873507028455,0.10599901310506,0.0250782245614401
"24",4.18072170894702,1.56543734969921,0.898442376076687,0.16125340121367,1.33567960311203,0.45083213893452,0.258156002372415,0.0593940207092811,0.611123150849535,0.194535392631256,0.110734876005746,0.0275534675190342
"25",4.70177605593347,1.74159776564104,0.997300547038419,0.182621945243046,1.4493021165032,0.479955047088786,0.274180229996487,0.0655472134405315,0.653273994275505,0.203063148525236,0.115377665620277,0.0301252626510882
"26",5.27640320971062,1.93468896000158,1.10554577025806,0.206118576280119,1.56827932958346,0.509813498040166,0.2905661853678,0.0720286067025587,0.696399454988507,0.211457128414265,0.119929164236414,0.0327907234443819
"27",5.90983242609908,2.14638634617769,1.22411477741615,0.231935397456406,1.69275356353126,0.540430494615923,0.307328363577468,0.0788426122020008,0.740482064769249,0.219718251661776,0.124391403713955,0.0355470771893762
"28",6.60781098195189,2.37853135269212,1.35403672910062,0.260284358166734,1.82287265966552,0.571830348386616,0.324481883484944,0.0859940545935708,0.785505253011896,0.227847872551905,0.128766583766801,0.0383916667826012
"29",7.37665479785588,2.63314747086176,1.4964421429933,0.291399182520055,1.95878994547658,0.604038558996897,0.342042410829142,0.0934881774868302,0.831453224681108,0.235847675226757,0.133057008035032,0.0413219505545604
"30",8.22330404045126,2.91245791751884,1.65257272973497,0.325537481647403,2.10066422991514,0.637081717546464,0.360026098064156,0.10133064777834,0.878310860763277,0.243719590311411,0.137265034950584,0.0443355006335072
"31",9.1553843881644,3.21890512566885,1.82379225392962,0.362983077243996,2.24865982539465,0.670987431984862,0.378449539303196,0.109527558661211,0.926063633320611,0.251465726027673,0.14139303867312,0.0474300001413822
"32",10.1812743110758,3.55517216843322,2.01159847753255,0.404048551265381,2.40294659610423,0.705784274196255,0.397329740117927,0.118085431350116,0.974697538799597,0.259088316150995,0.145443380950781,0.0506032397605805
"33",11.3101787870043,3.92420624591594,2.21763625692279,0.449078039024811,2.56370002664903,0.74150174285256,0.416684097901486,0.127011216174079,1.02419904196014,0.26658967824465,0.149418389875405,0.0538531136852021
"34",12.5522104040622,4.3292445363674,2.4437119616228,0.498450302293986,2.73110130823884,0.77817023924722,0.43653039078919,0.136312293328159,1.07455502500539,0.273972177173051,0.153320342244813,0.0571776151757756
"35",13.9184784736626,4.77384260517414,2.69180932175068,0.552582107412292,2.90533744019107,0.815821053852502,0.456886773514799,0.145996473516153,1.12575274925153,0.281238199905447,0.157151452979773,0.060574831924601
"36",15.4211868232885,5.26190558106931,2.96410682059622,0.611931934765427,3.08660134470628,0.854486361526433,0.477771778721055,0.156071998691787,1.17777982166516,0.288390134802549,0.16091386730123,0.0640429413606376
"37",17.0737411493967,5.79772237729294,3.26299678723488,0.677004053774507,3.27509199341613,0.894199223822175,0.499204322627045,0.166547543045999,1.23062416618311,0.29543035518013,0.164609655452299,0.0675802059785321
"38",18.8908668686075,6.3860032523061,3.59110635338277,0.748353000052723,3.47101454406234,0.934993597107831,0.521203714134902,0.177432214348158,1.28427399957386,0.302361206902772,0.168240809804541,0.0711849687047123
"39",20.8887384664369,7.03192102414203,3.95132044977264,0.826588493686226,3.67458048924889,0.976904345757111,0.543789666912602,0.188735555764905,1.33871781073269,0.30918499891836,0.171809243595358,0.074855648384303
"40",23.0851214482523,7.74115628536711,4.34680703580096,0.91238084172853,3.88600780334454,1.01996725823174,0.566982312732199,0.200467548033989,1.39394434285408,0.315903996194319,0.175316790939566,0.0785907354179976
